,ban_1000,closed_borders,ban_100,closed_schools,closed_stores-bars,ban_5
AG,0,58,6,13,18,34
AR,0,72,10,27,30,54
AI,0,43,12,18,18,31
BL,1,158,26,44,53,95
BS,1,330,80,115,134,210
BE,0,66,9,19,24,41
FR,0,108,13,25,34,59
GE,1,318,50,94,127,180
GL,0,108,14,37,47,71
GR,3,225,33,60,78,138
JU,1,147,23,36,42,53
LU,0,66,5,14,21,38
NE,0,140,31,46,57,92
NW,0,124,20,60,64,90
OW,0,74,26,44,47,55
SH,0,45,1,8,12,35
SZ,0,71,13,27,31,51
SO,0,53,4,13,15,29
SG,0,62,7,15,20,37
TI,1,61,92,160,108,309
TG,0,39,5,10,13,25
UR,0,93,0,2,11,24
VD,0,349,47,102,133,166
VS,0,226,20,46,61,123
ZG,0,53,10,16,24,35
ZH,0,98,14,27,36,63
